id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAYANAN DASAR,65,KEPALA KELUARGA,2021
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUANG AIR BESAR SEMBARANGAN,36022,KEPALA KELUARGA,2021
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,SANITASI LAYAK,547659,KEPALA KELUARGA,2021
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAYANAN DASAR,33967,KEPALA KELUARGA,2021
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUANG AIR BESAR SEMBARANGAN,77891,KEPALA KELUARGA,2021
190,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SANITASI LAYAK,226615,KEPALA KELUARGA,2021
191,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAYANAN DASAR,22524,KEPALA KELUARGA,2021
192,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUANG AIR BESAR SEMBARANGAN,133193,KEPALA KELUARGA,2021
193,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SANITASI LAYAK,315708,KEPALA KELUARGA,2021
194,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAYANAN DASAR,18912,KEPALA KELUARGA,2021
195,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUANG AIR BESAR SEMBARANGAN,18754,KEPALA KELUARGA,2021
196,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SANITASI LAYAK,471813,KEPALA KELUARGA,2021
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAYANAN DASAR,28525,KEPALA KELUARGA,2021
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUANG AIR BESAR SEMBARANGAN,112429,KEPALA KELUARGA,2021
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,SANITASI LAYAK,455022,KEPALA KELUARGA,2021
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAYANAN DASAR,3946,KEPALA KELUARGA,2021
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUANG AIR BESAR SEMBARANGAN,0,KEPALA KELUARGA,2021
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SANITASI LAYAK,220038,KEPALA KELUARGA,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAYANAN DASAR,10175,KEPALA KELUARGA,2021
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUANG AIR BESAR SEMBARANGAN,14380,KEPALA KELUARGA,2021
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SANITASI LAYAK,553922,KEPALA KELUARGA,2021
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAYANAN DASAR,28347,KEPALA KELUARGA,2021
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUANG AIR BESAR SEMBARANGAN,68274,KEPALA KELUARGA,2021
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,SANITASI LAYAK,832467,KEPALA KELUARGA,2021
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAYANAN DASAR,82960,KEPALA KELUARGA,2021
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUANG AIR BESAR SEMBARANGAN,81307,KEPALA KELUARGA,2021
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SANITASI LAYAK,471552,KEPALA KELUARGA,2021
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAYANAN DASAR,35661,KEPALA KELUARGA,2021
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUANG AIR BESAR SEMBARANGAN,0,KEPALA KELUARGA,2021
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SANITASI LAYAK,115931,KEPALA KELUARGA,2021
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAYANAN DASAR,6771,KEPALA KELUARGA,2021
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUANG AIR BESAR SEMBARANGAN,21279,KEPALA KELUARGA,2021
217,32,JAWA BARAT,3271,KOTA BOGOR,SANITASI LAYAK,159165,KEPALA KELUARGA,2021
218,32,JAWA BARAT,3271,KOTA BOGOR,LAYANAN DASAR,0,KEPALA KELUARGA,2021
